x1,x2,y
197.0,243.0,243.0
481.0,293.0,481.0
23.0,398.0,398.0
430.0,722.0,722.0
68.0,217.0,217.0
518.0,835.0,835.0
193.0,268.0,268.0
52.0,664.0,664.0
258.0,955.0,955.0
225.0,270.0,270.0
741.0,597.0,741.0
450.0,944.0,944.0
109.0,257.0,257.0
279.0,969.0,969.0
17.0,457.0,457.0
704.0,700.0,704.0
536.0,51.0,536.0
128.0,570.0,570.0
786.0,196.0,786.0
114.0,827.0,827.0
912.0,159.0,912.0
835.0,241.0,835.0
324.0,187.0,324.0
55.0,562.0,562.0
340.0,14.0,340.0
620.0,875.0,875.0
671.0,593.0,671.0
305.0,662.0,662.0
689.0,615.0,689.0
438.0,36.0,438.0
51.0,641.0,641.0
110.0,946.0,946.0
868.0,14.0,868.0
853.0,551.0,853.0
458.0,540.0,540.0
187.0,694.0,694.0
237.0,153.0,237.0
635.0,188.0,635.0
450.0,980.0,980.0
879.0,432.0,879.0
464.0,645.0,645.0
392.0,893.0,893.0
280.0,389.0,389.0
378.0,139.0,378.0
14.0,39.0,39.0
413.0,448.0,448.0
349.0,783.0,783.0
24.0,802.0,802.0
958.0,453.0,958.0
412.0,562.0,562.0
847.0,176.0,847.0
183.0,126.0,183.0
3.0,858.0,858.0
53.0,274.0,274.0
212.0,936.0,936.0
850.0,525.0,850.0
469.0,83.0,469.0
568.0,127.0,568.0
510.0,892.0,892.0
736.0,764.0,764.0
564.0,748.0,748.0
91.0,709.0,709.0
67.0,648.0,648.0
35.0,279.0,279.0
877.0,230.0,877.0
40.0,997.0,997.0
62.0,17.0,62.0
156.0,132.0,156.0
466.0,133.0,466.0
30.0,623.0,623.0
110.0,171.0,171.0
49.0,115.0,115.0
441.0,823.0,823.0
439.0,754.0,754.0
45.0,11.0,45.0
357.0,456.0,456.0
76.0,375.0,375.0
320.0,981.0,981.0
959.0,48.0,959.0
649.0,335.0,649.0
373.0,786.0,786.0
494.0,756.0,756.0
791.0,630.0,791.0
840.0,969.0,969.0
465.0,939.0,939.0
161.0,925.0,925.0
941.0,831.0,941.0
4.0,702.0,702.0
495.0,482.0,495.0
670.0,504.0,670.0
615.0,929.0,929.0
934.0,770.0,934.0
917.0,947.0,947.0
369.0,244.0,369.0
572.0,12.0,572.0
830.0,480.0,830.0
504.0,61.0,504.0
703.0,927.0,927.0
236.0,358.0,358.0
7.0,861.0,861.0
349.0,160.0,349.0
32.0,946.0,946.0
997.0,312.0,997.0
81.0,828.0,828.0
531.0,724.0,724.0
528.0,839.0,839.0
319.0,318.0,319.0
741.0,853.0,853.0
434.0,359.0,434.0
244.0,549.0,549.0
218.0,846.0,846.0
639.0,732.0,732.0
413.0,949.0,949.0
502.0,959.0,959.0
816.0,108.0,816.0
962.0,557.0,962.0
242.0,971.0,971.0
500.0,884.0,884.0
317.0,207.0,317.0
99.0,962.0,962.0
434.0,737.0,737.0
956.0,345.0,956.0
722.0,752.0,752.0
359.0,581.0,581.0
38.0,875.0,875.0
979.0,91.0,979.0
516.0,413.0,516.0
717.0,48.0,717.0
350.0,511.0,511.0
87.0,344.0,344.0
538.0,725.0,725.0
986.0,559.0,986.0
597.0,366.0,597.0
636.0,349.0,636.0
979.0,280.0,979.0
115.0,343.0,343.0
604.0,3.0,604.0
132.0,428.0,428.0
25.0,865.0,865.0
636.0,850.0,850.0
533.0,963.0,963.0
382.0,479.0,479.0
819.0,689.0,819.0
827.0,427.0,827.0
112.0,837.0,837.0
791.0,618.0,791.0
637.0,505.0,637.0
930.0,394.0,930.0
345.0,567.0,567.0
584.0,166.0,584.0
321.0,148.0,321.0
775.0,60.0,775.0
47.0,698.0,698.0
963.0,323.0,963.0
5.0,285.0,285.0
835.0,309.0,835.0
942.0,116.0,942.0
989.0,978.0,989.0
768.0,321.0,768.0
261.0,702.0,702.0
85.0,734.0,734.0
999.0,432.0,999.0
913.0,495.0,913.0
21.0,910.0,910.0
912.0,912.0,912.0
539.0,687.0,687.0
509.0,235.0,509.0
684.0,345.0,684.0
719.0,308.0,719.0
904.0,756.0,904.0
823.0,236.0,823.0
975.0,521.0,975.0
620.0,206.0,620.0
844.0,900.0,900.0
469.0,76.0,469.0
99.0,819.0,819.0
902.0,398.0,902.0
809.0,219.0,809.0
814.0,843.0,843.0
467.0,608.0,608.0
929.0,714.0,929.0
476.0,996.0,996.0
837.0,930.0,930.0
817.0,272.0,817.0
692.0,308.0,692.0
218.0,579.0,579.0
889.0,696.0,889.0
522.0,841.0,841.0
856.0,941.0,941.0
434.0,847.0,847.0
292.0,44.0,292.0
678.0,929.0,929.0
100.0,627.0,627.0
907.0,252.0,907.0
924.0,958.0,958.0
127.0,656.0,656.0
587.0,208.0,587.0
352.0,278.0,352.0
947.0,343.0,947.0
287.0,152.0,287.0
831.0,39.0,831.0
553.0,277.0,553.0
929.0,313.0,929.0
373.0,731.0,731.0
920.0,953.0,953.0
208.0,907.0,907.0
362.0,247.0,362.0
10.0,821.0,821.0
392.0,184.0,392.0
519.0,396.0,519.0
524.0,816.0,816.0
850.0,906.0,906.0
284.0,375.0,375.0
640.0,6.0,640.0
44.0,221.0,221.0
698.0,430.0,698.0
669.0,675.0,675.0
450.0,979.0,979.0
26.0,20.0,26.0
187.0,951.0,951.0
250.0,931.0,931.0
762.0,903.0,903.0
337.0,147.0,337.0
409.0,980.0,980.0
188.0,546.0,546.0
851.0,654.0,851.0
748.0,582.0,748.0
333.0,431.0,431.0
809.0,377.0,809.0
780.0,225.0,780.0
272.0,324.0,324.0
483.0,405.0,483.0
220.0,726.0,726.0
236.0,565.0,565.0
550.0,641.0,641.0
129.0,897.0,897.0
981.0,259.0,981.0
604.0,543.0,604.0
137.0,199.0,199.0
818.0,817.0,818.0
625.0,639.0,639.0
823.0,999.0,999.0
875.0,265.0,875.0
266.0,157.0,266.0
840.0,569.0,840.0
379.0,641.0,641.0
22.0,934.0,934.0
576.0,71.0,576.0
842.0,365.0,842.0
576.0,652.0,652.0
717.0,338.0,717.0
479.0,937.0,937.0
8.0,944.0,944.0
801.0,40.0,801.0
869.0,513.0,869.0
430.0,0.0,430.0
904.0,927.0,927.0
842.0,328.0,842.0
767.0,695.0,767.0
391.0,22.0,391.0
105.0,800.0,800.0
624.0,279.0,624.0
897.0,814.0,897.0
272.0,589.0,589.0
518.0,478.0,518.0
484.0,565.0,565.0
63.0,316.0,316.0
49.0,504.0,504.0
694.0,674.0,694.0
661.0,652.0,661.0
387.0,304.0,387.0
169.0,761.0,761.0
812.0,841.0,841.0
486.0,546.0,546.0
11.0,459.0,459.0
495.0,319.0,495.0
186.0,603.0,603.0
164.0,264.0,264.0
977.0,190.0,977.0
477.0,75.0,477.0
319.0,763.0,763.0
971.0,729.0,971.0
540.0,94.0,540.0
27.0,5.0,27.0
536.0,839.0,839.0
634.0,719.0,719.0
313.0,625.0,625.0
528.0,55.0,528.0
13.0,367.0,367.0
796.0,419.0,796.0
593.0,931.0,931.0
531.0,984.0,984.0
815.0,321.0,815.0
369.0,508.0,508.0
853.0,442.0,853.0
749.0,852.0,852.0
46.0,315.0,315.0
45.0,591.0,591.0
565.0,541.0,565.0
918.0,940.0,940.0
817.0,311.0,817.0
759.0,209.0,759.0
387.0,117.0,387.0
294.0,581.0,581.0
77.0,606.0,606.0
6.0,870.0,870.0
669.0,767.0,767.0
849.0,844.0,849.0
558.0,827.0,827.0
659.0,642.0,659.0
949.0,955.0,955.0
775.0,554.0,775.0
285.0,779.0,779.0
924.0,349.0,924.0
100.0,475.0,475.0
289.0,315.0,315.0
611.0,915.0,915.0
966.0,991.0,991.0
976.0,524.0,976.0
60.0,900.0,900.0
854.0,174.0,854.0
912.0,43.0,912.0
684.0,42.0,684.0
432.0,244.0,432.0
757.0,570.0,757.0
24.0,364.0,364.0
337.0,973.0,973.0
857.0,421.0,857.0
320.0,246.0,320.0
3.0,249.0,249.0
309.0,536.0,536.0
395.0,45.0,395.0
983.0,947.0,983.0
33.0,155.0,155.0
343.0,674.0,674.0
691.0,642.0,691.0
97.0,496.0,496.0
55.0,719.0,719.0
278.0,557.0,557.0
785.0,383.0,785.0
668.0,7.0,668.0
302.0,721.0,721.0
264.0,485.0,485.0
882.0,137.0,882.0
706.0,246.0,706.0
362.0,413.0,413.0
847.0,994.0,994.0
989.0,991.0,991.0
535.0,163.0,535.0
775.0,346.0,775.0
835.0,269.0,835.0
125.0,34.0,125.0
666.0,625.0,666.0
913.0,483.0,913.0
703.0,391.0,703.0
94.0,831.0,831.0
64.0,455.0,455.0
584.0,458.0,584.0
947.0,815.0,947.0
891.0,46.0,891.0
964.0,197.0,964.0
489.0,521.0,521.0
855.0,708.0,855.0
278.0,592.0,592.0
508.0,897.0,897.0
741.0,95.0,741.0
164.0,927.0,927.0
755.0,800.0,800.0
1000.0,247.0,1000.0
968.0,471.0,968.0
567.0,715.0,715.0
362.0,251.0,362.0
705.0,997.0,997.0
819.0,789.0,819.0
130.0,595.0,595.0
135.0,396.0,396.0
700.0,857.0,857.0
629.0,897.0,897.0
808.0,619.0,808.0
843.0,0.0,843.0
134.0,321.0,321.0
944.0,906.0,944.0
852.0,753.0,852.0
778.0,461.0,778.0
467.0,333.0,467.0
609.0,604.0,609.0
233.0,328.0,328.0
131.0,481.0,481.0
486.0,21.0,486.0
907.0,805.0,907.0
378.0,718.0,718.0
483.0,61.0,483.0
870.0,680.0,870.0
839.0,759.0,839.0
55.0,559.0,559.0
200.0,763.0,763.0
90.0,941.0,941.0
292.0,724.0,724.0
916.0,578.0,916.0
939.0,236.0,939.0
324.0,576.0,576.0
297.0,365.0,365.0
111.0,122.0,122.0
695.0,678.0,695.0
959.0,928.0,959.0
513.0,79.0,513.0
968.0,999.0,999.0
228.0,635.0,635.0
148.0,701.0,701.0
378.0,888.0,888.0
809.0,82.0,809.0
55.0,165.0,165.0
944.0,23.0,944.0
720.0,882.0,882.0
889.0,657.0,889.0
842.0,528.0,842.0
712.0,397.0,712.0
32.0,474.0,474.0
932.0,385.0,932.0
421.0,728.0,728.0
475.0,694.0,694.0
323.0,367.0,367.0
769.0,627.0,769.0
924.0,327.0,924.0
833.0,821.0,833.0
826.0,534.0,826.0
31.0,710.0,710.0
849.0,656.0,849.0
19.0,173.0,173.0
729.0,234.0,729.0
850.0,696.0,850.0
380.0,386.0,386.0
661.0,897.0,897.0
144.0,242.0,242.0
696.0,745.0,745.0
243.0,403.0,403.0
740.0,591.0,740.0
323.0,476.0,476.0
305.0,508.0,508.0
291.0,910.0,910.0
390.0,761.0,761.0
531.0,507.0,531.0
156.0,50.0,156.0
303.0,195.0,303.0
325.0,704.0,704.0
934.0,500.0,934.0
750.0,382.0,750.0
275.0,304.0,304.0
208.0,387.0,387.0
623.0,664.0,664.0
897.0,478.0,897.0
344.0,996.0,996.0
275.0,70.0,275.0
684.0,805.0,805.0
611.0,325.0,611.0
168.0,37.0,168.0
463.0,919.0,919.0
808.0,521.0,808.0
317.0,318.0,318.0
156.0,631.0,631.0
458.0,625.0,625.0
447.0,996.0,996.0
443.0,442.0,443.0
272.0,447.0,447.0
220.0,584.0,584.0
848.0,889.0,889.0
340.0,162.0,340.0
562.0,93.0,562.0
228.0,807.0,807.0
5.0,65.0,65.0
709.0,916.0,916.0
873.0,849.0,873.0
677.0,913.0,913.0
308.0,101.0,308.0
688.0,809.0,809.0
869.0,18.0,869.0
309.0,966.0,966.0
776.0,74.0,776.0
964.0,842.0,964.0
380.0,789.0,789.0
721.0,651.0,721.0
592.0,795.0,795.0
426.0,237.0,426.0
380.0,936.0,936.0
313.0,898.0,898.0
656.0,708.0,708.0
687.0,472.0,687.0
748.0,605.0,748.0
604.0,25.0,604.0
580.0,112.0,580.0
697.0,795.0,795.0
349.0,425.0,425.0
988.0,401.0,988.0
431.0,672.0,672.0
183.0,47.0,183.0
700.0,833.0,833.0
147.0,381.0,381.0
845.0,859.0,859.0
636.0,332.0,636.0
779.0,199.0,779.0
605.0,920.0,920.0
928.0,322.0,928.0
722.0,147.0,722.0
473.0,209.0,473.0
847.0,244.0,847.0
542.0,615.0,615.0
825.0,994.0,994.0
828.0,548.0,828.0
579.0,24.0,579.0
360.0,283.0,360.0
140.0,512.0,512.0
259.0,425.0,425.0
808.0,7.0,808.0
8.0,50.0,50.0
615.0,193.0,615.0
108.0,987.0,987.0
325.0,942.0,942.0
214.0,529.0,529.0
834.0,510.0,834.0
813.0,160.0,813.0
61.0,583.0,583.0
926.0,655.0,926.0
186.0,450.0,450.0
420.0,101.0,420.0
753.0,189.0,753.0
120.0,571.0,571.0
593.0,653.0,653.0
914.0,583.0,914.0
980.0,429.0,980.0
629.0,3.0,629.0
865.0,997.0,997.0
163.0,585.0,585.0
640.0,745.0,745.0
927.0,365.0,927.0
923.0,662.0,923.0
627.0,446.0,627.0
888.0,706.0,888.0
866.0,83.0,866.0
293.0,746.0,746.0
499.0,489.0,499.0
407.0,237.0,407.0
602.0,338.0,602.0
836.0,244.0,836.0
873.0,614.0,873.0
543.0,621.0,621.0
61.0,366.0,366.0
98.0,301.0,301.0
90.0,638.0,638.0
672.0,296.0,672.0
794.0,142.0,794.0
839.0,593.0,839.0
105.0,378.0,378.0
868.0,373.0,868.0
161.0,496.0,496.0
966.0,405.0,966.0
163.0,247.0,247.0
592.0,274.0,592.0
9.0,298.0,298.0
229.0,556.0,556.0
332.0,739.0,739.0
75.0,740.0,740.0
319.0,218.0,319.0
545.0,223.0,545.0
179.0,97.0,179.0
28.0,263.0,263.0
736.0,289.0,736.0
267.0,578.0,578.0
184.0,540.0,540.0
168.0,378.0,378.0
98.0,577.0,577.0
910.0,98.0,910.0
719.0,524.0,719.0
562.0,886.0,886.0
675.0,368.0,675.0
552.0,770.0,770.0
41.0,931.0,931.0
61.0,57.0,61.0
946.0,800.0,946.0
362.0,148.0,362.0
919.0,857.0,919.0
317.0,678.0,678.0
646.0,835.0,835.0
719.0,961.0,961.0
242.0,98.0,242.0
796.0,149.0,796.0
112.0,438.0,438.0
421.0,657.0,657.0
501.0,785.0,785.0
609.0,226.0,609.0
186.0,466.0,466.0
88.0,471.0,471.0
995.0,446.0,995.0
402.0,972.0,972.0
969.0,252.0,969.0
170.0,821.0,821.0
304.0,272.0,304.0
910.0,373.0,910.0
521.0,301.0,521.0
423.0,874.0,874.0
673.0,414.0,673.0
513.0,741.0,741.0
416.0,177.0,416.0
403.0,864.0,864.0
210.0,198.0,210.0
50.0,821.0,821.0
281.0,870.0,870.0
757.0,478.0,757.0
739.0,192.0,739.0
930.0,869.0,930.0
621.0,206.0,621.0
109.0,253.0,253.0
539.0,578.0,578.0
324.0,251.0,324.0
812.0,128.0,812.0
309.0,29.0,309.0
2.0,964.0,964.0
696.0,153.0,696.0
68.0,236.0,236.0
373.0,642.0,642.0
628.0,914.0,914.0
373.0,542.0,542.0
994.0,770.0,994.0
365.0,353.0,365.0
234.0,235.0,235.0
168.0,966.0,966.0
708.0,168.0,708.0
638.0,134.0,638.0
924.0,919.0,924.0
274.0,110.0,274.0
723.0,250.0,723.0
454.0,9.0,454.0
908.0,418.0,908.0
797.0,454.0,797.0
668.0,850.0,850.0
917.0,762.0,917.0
373.0,108.0,373.0
826.0,104.0,826.0
513.0,815.0,815.0
157.0,549.0,549.0
564.0,391.0,564.0
985.0,682.0,985.0
171.0,701.0,701.0
340.0,243.0,340.0
892.0,779.0,892.0
267.0,150.0,267.0
955.0,405.0,955.0
845.0,264.0,845.0
240.0,104.0,240.0
328.0,881.0,881.0
826.0,810.0,826.0
786.0,166.0,786.0
49.0,936.0,936.0
204.0,437.0,437.0
740.0,980.0,980.0
225.0,739.0,739.0
634.0,477.0,634.0
47.0,381.0,381.0
816.0,713.0,816.0
290.0,365.0,365.0
580.0,304.0,580.0
993.0,549.0,993.0
559.0,568.0,568.0
880.0,532.0,880.0
6.0,325.0,325.0
107.0,940.0,940.0
250.0,960.0,960.0
159.0,218.0,218.0
344.0,708.0,708.0
780.0,780.0,780.0
699.0,465.0,699.0
122.0,400.0,400.0
673.0,333.0,673.0
57.0,743.0,743.0
894.0,912.0,912.0
418.0,62.0,418.0
688.0,330.0,688.0
114.0,869.0,869.0
568.0,643.0,643.0
402.0,821.0,821.0
482.0,875.0,875.0
727.0,682.0,727.0
790.0,37.0,790.0
653.0,690.0,690.0
931.0,272.0,931.0
304.0,699.0,699.0
440.0,466.0,466.0
301.0,472.0,472.0
558.0,682.0,682.0
61.0,838.0,838.0
851.0,816.0,851.0
747.0,503.0,747.0
263.0,203.0,263.0
829.0,432.0,829.0
911.0,373.0,911.0
605.0,562.0,605.0
829.0,713.0,829.0
857.0,248.0,857.0
862.0,644.0,862.0
687.0,998.0,998.0
959.0,751.0,959.0
825.0,797.0,825.0
753.0,267.0,753.0
663.0,965.0,965.0
276.0,533.0,533.0
156.0,895.0,895.0
174.0,735.0,735.0
513.0,989.0,989.0
451.0,161.0,451.0
867.0,505.0,867.0
509.0,81.0,509.0
162.0,277.0,277.0
168.0,299.0,299.0
140.0,351.0,351.0
126.0,365.0,365.0
902.0,752.0,902.0
388.0,567.0,567.0
767.0,479.0,767.0
493.0,942.0,942.0
300.0,862.0,862.0
450.0,824.0,824.0
901.0,900.0,901.0
760.0,344.0,760.0
704.0,176.0,704.0
463.0,636.0,636.0
344.0,465.0,465.0
394.0,87.0,394.0
726.0,147.0,726.0
36.0,783.0,783.0
943.0,303.0,943.0
191.0,308.0,308.0
238.0,980.0,980.0
111.0,735.0,735.0
690.0,598.0,690.0
585.0,168.0,585.0
859.0,504.0,859.0
339.0,465.0,465.0
440.0,887.0,887.0
297.0,332.0,332.0
783.0,972.0,972.0
716.0,178.0,716.0
899.0,703.0,899.0
388.0,334.0,388.0
528.0,807.0,807.0
679.0,693.0,693.0
237.0,811.0,811.0
86.0,710.0,710.0
850.0,504.0,850.0
310.0,654.0,654.0
511.0,19.0,511.0
313.0,875.0,875.0
586.0,40.0,586.0
983.0,156.0,983.0
882.0,361.0,882.0
528.0,937.0,937.0
946.0,572.0,946.0
504.0,45.0,504.0
598.0,709.0,709.0
259.0,314.0,314.0
309.0,643.0,643.0
904.0,219.0,904.0
955.0,231.0,955.0
933.0,18.0,933.0
46.0,629.0,629.0
136.0,762.0,762.0
974.0,197.0,974.0
324.0,93.0,324.0
565.0,349.0,565.0
448.0,456.0,456.0
977.0,645.0,977.0
633.0,19.0,633.0
475.0,389.0,475.0
551.0,428.0,551.0
223.0,893.0,893.0
396.0,503.0,503.0
211.0,840.0,840.0
443.0,197.0,443.0
8.0,941.0,941.0
673.0,696.0,696.0
502.0,139.0,502.0
61.0,654.0,654.0
785.0,818.0,818.0
531.0,790.0,790.0
546.0,725.0,725.0
914.0,519.0,914.0
301.0,942.0,942.0
563.0,723.0,723.0
907.0,852.0,907.0
758.0,637.0,758.0
260.0,365.0,365.0
600.0,776.0,776.0
372.0,707.0,707.0
57.0,600.0,600.0
706.0,930.0,930.0
242.0,934.0,934.0
666.0,466.0,666.0
738.0,463.0,738.0
653.0,874.0,874.0
800.0,32.0,800.0
661.0,401.0,661.0
985.0,355.0,985.0
247.0,714.0,714.0
635.0,753.0,753.0
157.0,13.0,157.0
951.0,264.0,951.0
807.0,338.0,807.0
573.0,278.0,573.0
221.0,91.0,221.0
479.0,498.0,498.0
253.0,536.0,536.0
574.0,739.0,739.0
329.0,113.0,329.0
871.0,989.0,989.0
519.0,824.0,824.0
558.0,714.0,714.0
250.0,752.0,752.0
4.0,730.0,730.0
7.0,221.0,221.0
688.0,59.0,688.0
256.0,326.0,326.0
835.0,521.0,835.0
174.0,153.0,174.0
172.0,454.0,454.0
4.0,28.0,28.0
773.0,390.0,773.0
549.0,917.0,917.0
901.0,665.0,901.0
214.0,855.0,855.0
682.0,961.0,961.0
815.0,524.0,815.0
361.0,66.0,361.0
561.0,397.0,561.0
789.0,614.0,789.0
840.0,39.0,840.0
997.0,782.0,997.0
755.0,661.0,755.0
399.0,449.0,449.0
395.0,233.0,395.0
346.0,42.0,346.0
388.0,619.0,619.0
750.0,89.0,750.0
489.0,828.0,828.0
194.0,253.0,253.0
295.0,158.0,295.0
502.0,1000.0,1000.0
109.0,273.0,273.0
368.0,256.0,368.0
202.0,174.0,202.0
789.0,528.0,789.0
59.0,981.0,981.0
535.0,215.0,535.0
699.0,296.0,699.0
646.0,351.0,646.0
651.0,992.0,992.0
66.0,989.0,989.0
546.0,856.0,856.0
978.0,505.0,978.0
720.0,574.0,720.0
116.0,520.0,520.0
173.0,55.0,173.0
128.0,620.0,620.0
196.0,332.0,332.0
351.0,645.0,645.0
474.0,735.0,735.0
684.0,901.0,901.0
543.0,128.0,543.0
534.0,174.0,534.0
158.0,721.0,721.0
581.0,618.0,618.0
861.0,3.0,861.0
966.0,389.0,966.0
636.0,534.0,636.0
826.0,580.0,826.0
723.0,354.0,723.0
406.0,575.0,575.0
669.0,984.0,984.0
614.0,414.0,614.0
425.0,416.0,425.0
535.0,723.0,723.0
551.0,753.0,753.0
410.0,93.0,410.0
120.0,947.0,947.0
18.0,655.0,655.0
56.0,717.0,717.0
273.0,587.0,587.0
268.0,460.0,460.0
497.0,533.0,533.0
968.0,929.0,968.0
300.0,837.0,837.0
610.0,394.0,610.0
855.0,398.0,855.0
238.0,239.0,239.0
326.0,17.0,326.0
936.0,37.0,936.0
491.0,811.0,811.0
987.0,964.0,987.0
549.0,780.0,780.0
491.0,17.0,491.0
93.0,275.0,275.0
540.0,858.0,858.0
485.0,453.0,485.0
955.0,584.0,955.0
643.0,174.0,643.0
300.0,389.0,389.0
593.0,141.0,593.0
381.0,523.0,523.0
193.0,764.0,764.0
753.0,976.0,976.0
666.0,233.0,666.0
88.0,338.0,338.0
931.0,975.0,975.0
781.0,664.0,781.0
245.0,415.0,415.0
67.0,697.0,697.0
185.0,791.0,791.0
554.0,67.0,554.0
359.0,193.0,359.0
757.0,322.0,757.0
996.0,756.0,996.0
622.0,38.0,622.0
213.0,20.0,213.0
180.0,847.0,847.0
787.0,590.0,787.0
210.0,789.0,789.0
696.0,184.0,696.0
961.0,916.0,961.0
828.0,408.0,828.0
517.0,272.0,517.0
960.0,260.0,960.0
106.0,954.0,954.0
796.0,337.0,796.0
445.0,140.0,445.0
388.0,362.0,388.0
753.0,24.0,753.0
129.0,124.0,129.0
716.0,823.0,823.0
986.0,7.0,986.0
851.0,577.0,851.0
578.0,210.0,578.0
152.0,969.0,969.0
245.0,52.0,245.0
228.0,350.0,350.0
723.0,470.0,723.0
472.0,119.0,472.0
484.0,314.0,484.0
493.0,273.0,493.0
839.0,630.0,839.0
987.0,883.0,987.0
758.0,332.0,758.0
863.0,191.0,863.0
705.0,46.0,705.0
33.0,100.0,100.0
808.0,620.0,808.0
625.0,600.0,625.0
880.0,466.0,880.0
468.0,261.0,468.0
86.0,916.0,916.0
895.0,718.0,895.0
420.0,712.0,712.0
732.0,292.0,732.0
95.0,679.0,679.0
122.0,287.0,287.0
780.0,854.0,854.0
653.0,307.0,653.0
714.0,189.0,714.0
